division,ticket_id
OCCIDENTE,TK000481
SURESTE,TK000482
SURESTE,TK000483
METROPOLITANA SUR,TK000484
OCCIDENTE,TK000485
SURESTE,TK000486
METROPOLITANA NORTE,TK000487
METROPOLITANA NORTE,TK000488
METROPOLITANA NORTE,TK000489
NORESTE,TK000490
NOROESTE,TK000491
METROPOLITANA NORTE,TK000492
NOROESTE,TK000493
NOROESTE,TK000494
NOROESTE,TK000495
METROPOLITANA SUR,TK000496
METROPOLITANA SUR,TK000497
METROPOLITANA SUR,TK000498
SURESTE,TK000499
NORESTE,TK000500
NOROESTE,TK000501
NORESTE,TK000502
METROPOLITANA NORTE,TK000503
METROPOLITANA NORTE,TK000504
METROPOLITANA NORTE,TK000505
METROPOLITANA NORTE,TK000506
SUR,TK000507
SUR,TK000508
METROPOLITANA NORTE,TK000509
NORESTE,TK000510
SUR,TK000511
SUR,TK000512
NOROESTE,TK000513
METROPOLITANA SUR,TK000514
NOROESTE,TK000515
SUR,TK000516
SUR,TK000517
BAJIO,TK000518
BAJIO,TK000519
BAJIO,TK000520
OCCIDENTE,TK000521
BAJIO,TK000522
BAJIO,TK000523
NOROESTE,TK000524
BAJIO,TK000525
BAJIO,TK000526
BAJIO,TK000527
BAJIO,TK000528
BAJIO,TK000529
BAJIO,TK000530
BAJIO,TK000531
BAJIO,TK000532
SURESTE,TK000533
SURESTE,TK000534
BAJIO,TK000535
SURESTE,TK000536
SURESTE,TK000537
NORESTE,TK000538
OCCIDENTE,TK000539
NOROESTE,TK000540
OCCIDENTE,TK000541
METROPOLITANA NORTE,TK000542
METROPOLITANA NORTE,TK000543
SURESTE,TK000544
SURESTE,TK000545
METROPOLITANA NORTE,TK000546
SURESTE,TK000547
METROPOLITANA NORTE,TK000548
METROPOLITANA NORTE,TK000549
SURESTE,TK000550
SUR,TK000551
SUR,TK000552
NORESTE,TK000553
NORESTE,TK000554
NORESTE,TK000555
OCCIDENTE,TK000556
METROPOLITANA NORTE,TK000557
NORESTE,TK000558
NORESTE,TK000559
BAJIO,TK000560
BAJIO,TK000561
BAJIO,TK000562
NORESTE,TK000563
METROPOLITANA NORTE,TK000564
BAJIO,TK000565
NORESTE,TK000566
BAJIO,TK000567
BAJIO,TK000568
SUR,TK000569
NOROESTE,TK000570
BAJIO,TK000571
NORESTE,TK000572
SUR,TK000573
OCCIDENTE,TK000574
SUR,TK000575
BAJIO,TK000576
BAJIO,TK000577
NOROESTE,TK000578
METROPOLITANA NORTE,TK000579
METROPOLITANA NORTE,TK000580
NORESTE,TK000581
NOROESTE,TK000582
NOROESTE,TK000583
NORESTE,TK000584
METROPOLITANA SUR,TK000585
BAJIO,TK000586
METROPOLITANA SUR,TK000587
METROPOLITANA SUR,TK000588
SURESTE,TK000589
METROPOLITANA SUR,TK000590
METROPOLITANA SUR,TK000591
NOROESTE,TK000592
NOROESTE,TK000593
METROPOLITANA NORTE,TK000594
METROPOLITANA SUR,TK000595
METROPOLITANA SUR,TK000596
METROPOLITANA SUR,TK000597
METROPOLITANA SUR,TK000598
SUR,TK000599
METROPOLITANA SUR,TK000600
METROPOLITANA SUR,TK000601
NOROESTE,TK000602
SUR,TK000603
NORESTE,TK000604
SURESTE,TK000605
BAJIO,TK000606
NORESTE,TK000607
BAJIO,TK000608
BAJIO,TK000609
METROPOLITANA SUR,TK000610
SURESTE,TK000611
SUR,TK000612
NORESTE,TK000613
METROPOLITANA SUR,TK000614
METROPOLITANA SUR,TK000615
BAJIO,TK000616
NORESTE,TK000617
METROPOLITANA NORTE,TK000618
METROPOLITANA NORTE,TK000619
METROPOLITANA SUR,TK000620
NORESTE,TK000621
METROPOLITANA SUR,TK000622
METROPOLITANA NORTE,TK000623
NOROESTE,TK000624
METROPOLITANA NORTE,TK000625
METROPOLITANA NORTE,TK000626
NOROESTE,TK000627
METROPOLITANA SUR,TK000628
NOROESTE,TK000629
NORESTE,TK000630
BAJIO,TK000631
OCCIDENTE,TK000632
SURESTE,TK000633
BAJIO,TK000634
METROPOLITANA NORTE,TK000635
METROPOLITANA NORTE,TK000636
METROPOLITANA SUR,TK000637
NORESTE,TK000638
METROPOLITANA SUR,TK000639
BAJIO,TK000640
SURESTE,TK000641
OCCIDENTE,TK000642
METROPOLITANA NORTE,TK000643
NORESTE,TK000644
BAJIO,TK000645
BAJIO,TK000646
NORESTE,TK000647
OCCIDENTE,TK000648
METROPOLITANA NORTE,TK000649
SUR,TK000650
SUR,TK000651
BAJIO,TK000652
SUR,TK000653
BAJIO,TK000654
NORESTE,TK000655
NORESTE,TK000656
METROPOLITANA SUR,TK000657
BAJIO,TK000658
METROPOLITANA SUR,TK000659
NORESTE,TK000660
METROPOLITANA NORTE,TK000661
BAJIO,TK000662
METROPOLITANA SUR,TK000663
NORESTE,TK000664
NOROESTE,TK000665
METROPOLITANA SUR,TK000666
METROPOLITANA NORTE,TK000667
METROPOLITANA SUR,TK000668
SURESTE,TK000669
SURESTE,TK000670
METROPOLITANA SUR,TK000671
NORESTE,TK000672
NOROESTE,TK000673
BAJIO,TK000674
OCCIDENTE,TK000675
BAJIO,TK000676
NORESTE,TK000677
BAJIO,TK000678
METROPOLITANA SUR,TK000679
NORESTE,TK000680
SURESTE,TK000681
METROPOLITANA NORTE,TK000682
METROPOLITANA SUR,TK000683
BAJIO,TK000684
METROPOLITANA NORTE,TK000685
METROPOLITANA SUR,TK000686
BAJIO,TK000687
NORESTE,TK000688
METROPOLITANA NORTE,TK000689
NORESTE,TK000690
BAJIO,TK000691
NORESTE,TK000692
NOROESTE,TK000693
SUR,TK000694
BAJIO,TK000695
METROPOLITANA SUR,TK000696
METROPOLITANA SUR,TK000697
OCCIDENTE,TK000698
OCCIDENTE,TK000699
NORESTE,TK000700
NOROESTE,TK000701
OCCIDENTE,TK000702
BAJIO,TK000703
NOROESTE,TK000704
METROPOLITANA NORTE,TK000705
METROPOLITANA SUR,TK000706
METROPOLITANA NORTE,TK000707
METROPOLITANA SUR,TK000708
NORESTE,TK000709
NOROESTE,TK000710
OCCIDENTE,TK000711
NOROESTE,TK000712
NOROESTE,TK000713
METROPOLITANA NORTE,TK000714
NOROESTE,TK000715
METROPOLITANA NORTE,TK000716
OCCIDENTE,TK000717
SURESTE,TK000718
NOROESTE,TK000719
NOROESTE,TK000720
METROPOLITANA SUR,TK000721
METROPOLITANA NORTE,TK000722
NORESTE,TK000723
NOROESTE,TK000724
NOROESTE,TK000725
SURESTE,TK000726
OCCIDENTE,TK000727
NORESTE,TK000728
NOROESTE,TK000729
BAJIO,TK000730
OCCIDENTE,TK000731
METROPOLITANA SUR,TK000732
OCCIDENTE,TK000733
METROPOLITANA SUR,TK000734
METROPOLITANA NORTE,TK000735
SURESTE,TK000736
NOROESTE,TK000737
SURESTE,TK000738
NOROESTE,TK000739
SURESTE,TK000740
SUR,TK000741
OCCIDENTE,TK000742
NORESTE,TK000743
OCCIDENTE,TK000744
OCCIDENTE,TK000745
SUR,TK000746
OCCIDENTE,TK000747
OCCIDENTE,TK000748
NORESTE,TK000749
NORESTE,TK000750
METROPOLITANA SUR,TK000751
METROPOLITANA NORTE,TK000752
OCCIDENTE,TK000753
SURESTE,TK000754
NOROESTE,TK000755
METROPOLITANA SUR,TK000756
OCCIDENTE,TK000757
METROPOLITANA NORTE,TK000758
METROPOLITANA NORTE,TK000759
METROPOLITANA SUR,TK000760
METROPOLITANA SUR,TK000761
NOROESTE,TK000762
NOROESTE,TK000763
METROPOLITANA NORTE,TK000764
METROPOLITANA NORTE,TK000765
BAJIO,TK000766
SURESTE,TK000767
SUR,TK000768
METROPOLITANA NORTE,TK000769
METROPOLITANA NORTE,TK000770
METROPOLITANA NORTE,TK000771
METROPOLITANA SUR,TK000772
METROPOLITANA NORTE,TK000773
SURESTE,TK000774
BAJIO,TK000775
SURESTE,TK000776
NOROESTE,TK000777
OCCIDENTE,TK000778
OCCIDENTE,TK000779
OCCIDENTE,TK000780
BAJIO,TK000781
SURESTE,TK000782
METROPOLITANA NORTE,TK000783
METROPOLITANA NORTE,TK000784
NOROESTE,TK000785
OCCIDENTE,TK000786
METROPOLITANA NORTE,TK000787
SURESTE,TK000788
NORESTE,TK000789
METROPOLITANA SUR,TK000790
METROPOLITANA SUR,TK000791
SURESTE,TK000792
OCCIDENTE,TK000793
SURESTE,TK000794
OCCIDENTE,TK000795
METROPOLITANA NORTE,TK000796
METROPOLITANA NORTE,TK000797
NORESTE,TK000798
NOROESTE,TK000799
SURESTE,TK000800
METROPOLITANA SUR,TK000801
METROPOLITANA NORTE,TK000802
METROPOLITANA NORTE,TK000803
METROPOLITANA NORTE,TK000804
BAJIO,TK000805
METROPOLITANA NORTE,TK000806
METROPOLITANA SUR,TK000807
NORESTE,TK000808
OCCIDENTE,TK000809
OCCIDENTE,TK000810
NORESTE,TK000811
METROPOLITANA SUR,TK000812
OCCIDENTE,TK000813
NOROESTE,TK000814
NOROESTE,TK000815
NOROESTE,TK000816
NOROESTE,TK000817
NOROESTE,TK000818
NOROESTE,TK000819
NORESTE,TK000820
OCCIDENTE,TK000821
OCCIDENTE,TK000822
METROPOLITANA SUR,TK000823
BAJIO,TK000824
METROPOLITANA NORTE,TK000825
NOROESTE,TK000826
METROPOLITANA NORTE,TK000827
BAJIO,TK000828
METROPOLITANA NORTE,TK000829
NORESTE,TK000830
METROPOLITANA NORTE,TK000831
BAJIO,TK000832
NORESTE,TK000833
NORESTE,TK000834
METROPOLITANA SUR,TK000835
NOROESTE,TK000836
NORESTE,TK000837
NOROESTE,TK000838
METROPOLITANA SUR,TK000839
METROPOLITANA NORTE,TK000840
METROPOLITANA NORTE,TK000841
METROPOLITANA NORTE,TK000842
METROPOLITANA NORTE,TK000843
METROPOLITANA NORTE,TK000844
SUR,TK000845
OCCIDENTE,TK000846
METROPOLITANA SUR,TK000847
METROPOLITANA SUR,TK000848
METROPOLITANA SUR,TK000849
OCCIDENTE,TK000850
METROPOLITANA NORTE,TK000851
NORESTE,TK000852
METROPOLITANA NORTE,TK000853
METROPOLITANA NORTE,TK000854
NORESTE,TK000855
METROPOLITANA NORTE,TK000856
METROPOLITANA NORTE,TK000857
METROPOLITANA NORTE,TK000858
METROPOLITANA NORTE,TK000859
NORESTE,TK000860
SURESTE,TK000861
NORESTE,TK000862
NORESTE,TK000863
NORESTE,TK000864
METROPOLITANA NORTE,TK000865
OCCIDENTE,TK000866
SURESTE,TK000867
METROPOLITANA NORTE,TK000868
BAJIO,TK000869
BAJIO,TK000870
NOROESTE,TK000871
OCCIDENTE,TK000872
METROPOLITANA NORTE,TK000873
METROPOLITANA NORTE,TK000874
OCCIDENTE,TK000875
OCCIDENTE,TK000876
METROPOLITANA NORTE,TK000877
METROPOLITANA SUR,TK000878
METROPOLITANA SUR,TK000879
NORESTE,TK000880
BAJIO,TK000881
METROPOLITANA NORTE,TK000882
NORESTE,TK000883
NORESTE,TK000884
NOROESTE,TK000885
NORESTE,TK000886
NOROESTE,TK000887
SUR,TK000888
OCCIDENTE,TK000889
METROPOLITANA NORTE,TK000890
METROPOLITANA NORTE,TK000891
METROPOLITANA NORTE,TK000892
SURESTE,TK000893
BAJIO,TK000894
METROPOLITANA SUR,TK000895
NORESTE,TK000896
NOROESTE,TK000897
NOROESTE,TK000898
NOROESTE,TK000899
NOROESTE,TK000900
NOROESTE,TK000901
SUR,TK000902
SUR,TK000903
NOROESTE,TK000904
NOROESTE,TK000905
NOROESTE,TK000906
NOROESTE,TK000907
METROPOLITANA SUR,TK000908
SUR,TK000909
SUR,TK000910
BAJIO,TK000911
NOROESTE,TK000912
BAJIO,TK000913
NOROESTE,TK000914
NOROESTE,TK000915
BAJIO,TK000916
BAJIO,TK000917
BAJIO,TK000918
BAJIO,TK000919
BAJIO,TK000920
SUR,TK000921
OCCIDENTE,TK000922
BAJIO,TK000923
SUR,TK000924
SUR,TK000925
SUR,TK000926
BAJIO,TK000927
OCCIDENTE,TK000928
SUR,TK000929
OCCIDENTE,TK000930
OCCIDENTE,TK000931
SURESTE,TK000932
BAJIO,TK000933
OCCIDENTE,TK000934
OCCIDENTE,TK000935
SUR,TK000936
SUR,TK000937
BAJIO,TK000938
METROPOLITANA NORTE,TK000939
METROPOLITANA NORTE,TK000940
METROPOLITANA NORTE,TK000941
METROPOLITANA NORTE,TK000942
NORESTE,TK000943
METROPOLITANA NORTE,TK000944
NORESTE,TK000945
OCCIDENTE,TK000946
OCCIDENTE,TK000947
NORESTE,TK000948
OCCIDENTE,TK000949
NORESTE,TK000950
NORESTE,TK000951
NORESTE,TK000952
NORESTE,TK000953
NORESTE,TK000954
OCCIDENTE,TK000955
METROPOLITANA NORTE,TK000956
METROPOLITANA NORTE,TK000957
BAJIO,TK000958
NORESTE,TK000959
NOROESTE,TK000960
NORESTE,TK000961
OCCIDENTE,TK000962
BAJIO,TK000963
METROPOLITANA NORTE,TK000964
METROPOLITANA NORTE,TK000965
METROPOLITANA NORTE,TK000966
OCCIDENTE,TK000967
METROPOLITANA NORTE,TK000968
NORESTE,TK000969
NORESTE,TK000970
METROPOLITANA SUR,TK000971
NORESTE,TK000972
METROPOLITANA NORTE,TK000973
METROPOLITANA NORTE,TK000974
METROPOLITANA SUR,TK000975
NORESTE,TK000976
METROPOLITANA SUR,TK000977
METROPOLITANA SUR,TK000978
METROPOLITANA SUR,TK000979
BAJIO,TK000980
OCCIDENTE,TK000981
NORESTE,TK000982
OCCIDENTE,TK000983
NORESTE,TK000984
OCCIDENTE,TK000985
METROPOLITANA NORTE,TK000986
METROPOLITANA NORTE,TK000987
METROPOLITANA NORTE,TK000988
METROPOLITANA NORTE,TK000989
OCCIDENTE,TK000990
BAJIO,TK000991
BAJIO,TK000992
METROPOLITANA NORTE,TK000993
METROPOLITANA NORTE,TK000994
METROPOLITANA NORTE,TK000995
NORESTE,TK000996
NORESTE,TK000997
OCCIDENTE,TK000998
METROPOLITANA NORTE,TK000999
METROPOLITANA NORTE,TK001000
METROPOLITANA NORTE,TK001001
NORESTE,TK001002
BAJIO,TK001003
OCCIDENTE,TK001004
METROPOLITANA SUR,TK001005
METROPOLITANA SUR,TK001006
NORESTE,TK001007
OCCIDENTE,TK001008
METROPOLITANA SUR,TK001009
SUR,TK001010
METROPOLITANA NORTE,TK001011
METROPOLITANA NORTE,TK001012
SUR,TK001013
NORESTE,TK001014
METROPOLITANA NORTE,TK001015
NORESTE,TK001016
BAJIO,TK001017
METROPOLITANA NORTE,TK001018
NORESTE,TK001019
NORESTE,TK001020
SUR,TK001021
METROPOLITANA SUR,TK001022
METROPOLITANA SUR,TK001023
SUR,TK001024
SUR,TK001025
NORESTE,TK001026
SUR,TK001027
METROPOLITANA NORTE,TK001028
METROPOLITANA NORTE,TK001029
SUR,TK001030
SUR,TK001031
SUR,TK001032
NORESTE,TK001033
BAJIO,TK001034
NORESTE,TK001035
METROPOLITANA SUR,TK001036
NORESTE,TK001037
SUR,TK001038
NORESTE,TK001039
SUR,TK001040
SUR,TK001041
SUR,TK001042
METROPOLITANA NORTE,TK001043
SUR,TK001044
METROPOLITANA NORTE,TK001045
METROPOLITANA NORTE,TK001046
NORESTE,TK001047
NORESTE,TK001048
METROPOLITANA SUR,TK001049
SUR,TK001050
SUR,TK001051
SUR,TK001052
BAJIO,TK001053
SUR,TK001054
METROPOLITANA SUR,TK001055
